gender_equality,environment,pdgg,trade,bio_diversity,climate_mitigation,climate_adaptation,desertification,rmnch,drr,disability,nutrition,reporting_org_ref
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-02768268
False,False,False,False,False,False,False,False,False,False,False,False,ET-CSA-0444
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-21018
True,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1127488
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0447404580
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-14
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-32
False,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-1002
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0416934803
False,False,False,False,False,False,False,False,False,False,False,False,47045
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-2
True,True,True,True,True,True,True,True,True,True,True,True,XI-IATI-EC_INTPA
True,True,True,True,True,True,True,True,True,True,True,True,XM-DAC-6-4
False,False,False,False,False,False,False,False,False,False,False,False,KE-KRA-P051698850Z
True,False,True,True,False,True,False,False,False,True,False,False,GB-COH-04161656
False,False,False,False,False,False,False,False,False,False,False,False,GB-CH-4161656
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0418088113
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-41108
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-12
True,False,True,False,False,False,False,False,True,False,False,False,NL-KVK-41207989
True,False,False,False,False,False,False,False,False,False,False,False,GB-COH-03580586-GEC
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-46002
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-26
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0407562029
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-7
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0462132150
False,False,False,False,False,False,False,False,False,False,False,False,XM-OCHA-CERF
False,False,False,False,False,False,False,False,False,False,False,False,DK-CVR-12006004
False,False,False,False,False,False,False,False,False,False,False,False,BD-NAB-1301
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-1574821
True,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-41123
False,False,True,False,False,False,False,False,False,False,False,False,US-EIN-75-3130860
True,True,True,True,False,True,True,False,True,False,False,True,NL-KVK-41150085
True,True,True,False,False,True,True,False,False,False,False,False,KE-KRA-P051326872M
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-220949
False,True,True,False,True,False,True,False,True,True,False,True,IE-CHY-20009601
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1117528
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-202918
True,False,True,False,False,False,False,False,True,False,False,False,GB-COH-2695347
False,False,False,False,False,False,False,False,False,False,False,False,NG-CAC-69519
False,True,False,False,False,False,False,False,False,False,False,False,GB-CHC-285776
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-41110
False,False,False,False,False,False,False,False,False,False,False,False,XI-BRIDGE-6385676864
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-18
True,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1115109
True,True,True,True,True,True,True,True,True,False,False,False,KR-GOV-010
False,False,False,False,False,False,False,False,False,False,False,False,FR-INSEE-32101874900127
False,False,False,False,False,False,False,False,False,False,False,False,FR-3
False,False,False,False,False,False,False,False,False,False,False,False,UG-NGB-0498
True,False,False,False,False,False,False,False,False,False,False,False,CH-FDJP-106756410
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0463455904
False,False,True,False,False,False,False,False,False,False,False,False,JO-MSD-2011101100001
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-17
False,False,False,False,False,False,False,False,False,False,False,False,XM-OCHA-HPC6770
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-FC012665
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-21
False,False,True,False,False,False,False,False,False,False,False,False,SK-ZRSR-31784828
False,False,False,False,False,False,False,False,False,False,False,False,US-EIN-82-0644678
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-16
True,False,True,False,False,False,False,False,False,False,False,False,NL-KVK-27368929
True,True,True,True,True,True,True,True,True,False,False,True,NL-KVK-09098104
True,False,False,False,False,False,False,False,False,False,False,False,JO-MSD-200159274
True,False,False,True,False,True,True,False,False,False,False,False,NL-KVK-27078545
False,True,False,False,False,False,False,False,False,False,False,False,XM-DAC-47136
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-10
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0427736148
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-7557881
False,False,False,False,False,False,False,False,False,False,False,False,DK-CVR-25825012
True,True,True,True,True,True,True,True,True,True,True,True,XM-DAC-50-21
True,True,True,False,False,False,False,False,True,True,False,True,CA_ON-ONT-1597880
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-928
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1154085
True,False,True,True,False,False,False,False,False,False,False,False,NL-KVK-27284008
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0413986102
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0435563751
False,False,False,False,False,False,False,False,False,False,False,False,XM-OCHA-HPC8568
True,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-41302
True,True,True,True,True,True,True,True,True,False,False,False,ML-NIF-084106436R
False,False,True,False,False,False,False,False,False,False,False,False,GB-CHC-1092236
False,False,False,False,False,False,False,False,False,False,False,False,FR-6
False,False,False,False,False,False,False,False,False,False,False,False,IE-CHY-6663
False,False,False,False,False,False,False,False,False,False,False,False,AU-ACNC-18055208636
True,True,True,True,True,True,True,True,True,True,False,False,FI-3
False,False,False,False,False,False,False,False,False,False,False,False,US-EIN-26-4129153
True,False,False,False,False,False,False,False,False,False,True,False,NL-KVK-41180500
False,False,False,False,False,False,False,False,False,False,True,False,GB-CHC-1061352
True,True,True,True,True,True,True,True,True,False,False,False,XM-DAC-301-2
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0418015461
False,False,False,False,False,False,False,False,False,False,False,False,CA-CRA_ARC-119304848
False,False,False,False,False,False,False,False,False,False,False,False,NL-KVK-30238214
False,False,True,False,False,False,False,False,False,False,False,False,NL-KVK-64763064
True,True,True,True,False,False,True,False,False,False,False,False,GB-COH-3799145
True,True,True,True,True,True,True,True,True,True,False,False,XM-DAC-5-7
False,False,False,False,False,False,False,False,False,False,False,False,US-EIN-27-1661997
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1172875
False,False,False,False,False,True,False,False,False,False,False,False,ZA-NPO-057-611
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-20
False,False,False,False,False,False,False,False,False,False,False,False,CH-FDJP-CHE109506789
False,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-AGR
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1064413
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0453072647
True,False,True,False,False,False,False,False,False,False,False,False,GH-RGD-CG200980721
True,True,False,True,True,True,True,True,False,True,True,False,SE-0
False,False,True,False,False,False,False,False,False,False,False,False,XM-DAC-30009
True,True,True,True,True,True,True,True,True,True,True,True,GB-GOV-6
True,False,False,False,False,True,False,False,False,False,False,False,KE-NCB-OP/218/051/924/84
False,False,False,False,False,False,False,False,False,False,True,False,GB-COH-294860
True,False,True,False,False,False,False,False,True,False,False,False,NL-KVK-41155934
True,False,False,False,False,False,False,False,False,False,False,False,US-EIN-26-1931968
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-21033
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1125512
True,False,False,False,False,False,False,False,False,False,False,False,VN-MOST-A399
False,False,False,False,False,False,False,False,False,False,False,False,NG-CAC-73022
False,False,False,False,False,False,False,False,False,False,False,False,SS-RRC-004
False,True,True,False,False,False,False,False,False,True,False,False,NO-BRC-871033552
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0423588904
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-22
True,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1079752
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-03054929
True,False,False,False,False,False,False,False,False,False,False,False,RW-RGB-020-17
True,False,False,False,False,False,False,False,False,False,True,False,GB-CHC-1082565
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0460162753
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-02412299
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1078803
True,False,False,False,False,False,True,False,False,True,False,True,XI-IATI-CABI
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1110434
False,False,False,False,False,False,False,False,False,False,False,False,DK-CVR-78920610
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0408656248
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1143797
False,False,False,False,False,False,False,False,False,False,False,False,CH-FDJP-CHE105834763
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1137523
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-46004
False,False,False,False,False,False,False,False,False,False,False,False,NL-KVK-74064800
False,False,False,False,False,False,False,False,False,False,False,False,ES-CIF-G-8236803
True,True,False,False,True,True,True,True,True,False,False,False,CH-4
True,True,True,False,False,False,False,False,False,False,False,False,NL-KVK-30214009
True,False,False,False,False,False,False,False,False,False,False,False,SO-MPND-L43135002018MJ
False,True,False,False,False,False,False,False,False,False,False,False,BE-BCE_KBO-0434417468
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-292506
True,True,True,True,True,True,True,True,True,False,True,False,GB-GOV-1
True,True,False,True,True,True,False,False,False,False,False,False,NL-KVK-30195730
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-13
False,False,False,False,False,False,False,False,False,False,False,False,NP-SWC-8220
False,False,False,False,False,False,False,False,False,False,False,False,US-EIN-22-3087809
True,False,False,False,False,False,False,False,True,False,False,False,NL-KVK-34197379
True,True,True,True,True,True,True,True,True,True,True,True,XI-IATI-EC_NEAR
False,False,True,False,False,False,False,False,False,False,False,False,YE-MSAL-49-M-2019
True,False,False,False,True,True,True,True,False,True,True,True,GB-GOV-13
True,True,True,False,False,False,False,False,False,False,False,False,GB-SC-SC012302
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0415880570
False,False,False,False,False,False,False,False,False,False,False,False,NL-KVK-31047672
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0454555163
False,False,False,False,False,False,False,False,True,False,False,False,ML-NIF-086108989R
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-289036
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1017336
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0425420917
True,False,True,False,False,False,False,False,False,False,False,False,KE-NCB-218051200602584403
True,True,True,True,False,True,True,False,True,True,True,True,NL-KVK-41160054
False,False,False,False,False,False,False,False,False,False,False,False,BD-NAB-002
True,False,False,True,False,False,True,False,False,False,False,False,GB-COH-3031674
False,False,False,True,False,False,False,False,False,False,False,False,NL-KVK-09181221
False,False,False,False,False,False,False,False,False,False,False,False,XI-GRID-XI-GRID-grid4157124
False,False,True,False,False,False,False,False,False,False,False,False,NL-KVK-815165924
True,False,False,False,False,False,False,False,False,False,False,False,US-EIN-27-49-33181
False,False,False,False,False,False,False,False,False,False,False,False,IN-MCA-U74900TG2007NPL055085
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-41127
True,True,True,True,True,True,True,True,True,True,True,False,NZ-1
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-23
True,False,False,False,False,False,False,False,False,False,False,False,KE-NCB-200201282375
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0431955945
True,False,False,False,False,False,False,False,True,False,False,False,GB-COH-04105827
False,False,False,False,False,False,False,False,False,False,False,False,NL-KVK-68758766
True,False,True,True,False,False,True,False,True,False,False,False,NL-KVK-41158230
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-11080032
True,False,True,True,False,False,False,False,False,False,False,True,ES-CIF-G81164105
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1187721
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6201300688700
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-5200081145006
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6201000370801
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6201101182902
True,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6201000068802
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6201100034408
False,False,False,False,False,False,False,False,False,False,False,False,NL-KVK-30114696
True,True,True,True,True,True,True,True,True,True,True,True,NL-KVK-76050475
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0432622077
True,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1051681
True,True,True,False,False,False,True,False,False,False,False,False,NL-KVK-41172933
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-07321996
False,False,False,False,False,False,False,False,False,False,False,False,UG-RSB-80020000583761
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-250456
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-222655
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-4201710012551
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-5200801335602
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6201501755307
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-1762840
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0421207751
False,False,False,False,False,False,False,False,False,False,False,False,UG-NGB-5914-9186
False,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-IADB
True,False,True,True,False,True,True,False,False,False,True,False,GB-COH-1110949
False,False,True,False,False,False,False,False,False,False,False,False,US-EIN-13-5562308
False,False,False,False,False,False,False,False,False,False,False,False,SG-ACRA-201507403G
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1102909
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0421408778
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0453975341
False,False,True,False,False,False,False,False,False,False,False,False,NL-KVK-54436222
False,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-UA-EDR-37199602
False,False,False,False,False,False,False,False,False,False,False,False,ZA-NPO-025-359
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1076497
True,False,False,False,False,False,False,False,False,False,False,False,NG-CAC-30547
True,True,True,True,True,True,True,True,True,True,True,True,NL-KVK-41077447
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1114727
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-06133927
True,False,True,False,False,False,False,False,False,False,False,False,NL-KVK-41199723
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-281681
True,True,False,False,False,False,False,False,False,False,True,False,GB-CHC-1001813
True,False,False,False,False,False,False,False,False,False,False,False,KE-NCB-218051981161116
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1140276
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-294329
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1147298
False,False,False,False,False,False,False,False,False,False,False,False,DE-COA-HRB726528
True,False,True,False,False,False,True,False,False,False,False,False,NL-KVK-41146484
False,False,False,False,False,False,False,False,False,False,False,False,RW-MINAFFET-0766/09.06/32/16
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0460240749
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1112404
True,False,True,False,False,False,False,False,False,False,False,False,KE-NCB-2180511403539790
False,False,False,False,False,False,False,False,False,False,False,False,CH-FDJP-CHE251665168
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0421210424
False,False,False,False,False,False,False,False,False,False,False,False,KE-KRA-PVT-Q7UYY2K
True,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-KHF
True,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-KHF_IFH
False,False,False,False,False,False,False,False,False,False,False,False,CH-FDJP-CHE331930936
False,False,False,False,False,False,False,False,True,False,False,False,GB-CHC-1837621
True,False,True,False,False,True,True,False,False,False,False,False,BJ-IFU-32000700033415
False,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-EC_ECHO
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-21-1
False,False,False,False,False,True,False,False,False,False,False,False,XI-IATI-MIF
True,False,True,False,False,False,False,False,True,False,False,True,NL-KVK-41201463
True,True,True,True,False,False,False,False,False,False,False,False,US-EIN-20-3908371
False,True,True,True,False,False,False,False,False,False,False,False,CH-FDJP-107.856.445
False,False,False,False,False,False,False,False,False,False,False,False,NL-KVK-32037590
True,False,True,True,False,False,False,False,False,False,False,False,BE-BCE_KBO-0443262185
True,False,True,False,False,False,False,False,True,False,False,False,KE-RCO-C1-61
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0472089102
False,True,False,False,False,False,False,False,False,False,False,False,ML-NIF-400100027H
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-290767
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0442168263
False,False,False,False,False,False,False,False,False,False,False,False,US-EIN-042347643
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-00070527
False,False,False,False,True,False,False,False,False,False,False,False,MW-CNM-21
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0408643875
False,False,False,True,False,False,False,False,False,False,False,False,BD-ROC-C-150855
True,True,True,True,False,True,True,True,True,False,False,False,XM-DAC-7
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-272465
True,False,True,False,False,False,False,False,True,False,False,False,NL-KVK-27102631
False,False,False,False,False,False,False,False,False,False,False,False,US-EIN-04-2103547
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-41116
True,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-LPI
False,False,False,False,False,False,False,False,False,False,False,False,XI-GRID-grid.11194.3c
False,True,False,True,False,False,False,False,False,False,False,False,GB-COH-01926828
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0413119733
False,False,False,False,False,False,False,False,False,False,False,False,NG-CAC-1260478
False,False,False,False,False,False,False,False,False,False,False,False,DK-CVR-DK-CVR-37295728
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-09288843
False,False,False,False,True,True,True,True,False,False,False,False,DK-CVR-63407216
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-327519
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0410757386
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0432503697
False,False,False,False,False,False,False,False,False,False,False,False,SE-ON-802005-9823
False,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-XI-GRID-grid.419346.d
False,False,False,False,False,False,False,False,False,False,False,False,XI-GRID-grid.419346.d
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0432235661
False,False,False,False,False,False,False,False,True,False,False,False,GB-CHC-1089490
False,False,False,False,False,False,False,False,False,False,False,False,RW-RRA-121040504
False,False,False,False,False,False,False,False,False,False,False,False,DE-CR-VR32914
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1074937
True,False,True,False,False,False,False,False,False,False,False,False,NL-KVK-41208813
False,False,False,False,False,False,False,False,False,False,False,False,CH-FDJP-CHE326267730
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1050327
False,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-CH-FDJP-CHE10092705
False,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-MX-RFC-IIN920701G55
True,True,True,True,False,False,False,False,False,False,False,False,XM-DAC-47056
False,False,False,False,False,False,False,False,False,False,False,False,IN-MCA-IN-MCA-AAE-8458
False,False,False,False,False,False,False,False,False,False,False,False,US-EIN-941191246
False,False,False,False,False,False,False,False,False,False,False,False,TZ-TRA-116315386
False,False,True,False,False,False,False,False,False,False,False,False,GB-CHC-1074857
True,False,True,False,False,False,False,False,False,False,False,False,CH-FDJP-109458452
False,False,True,False,False,False,False,False,False,False,False,False,IE-CHY-20009090
True,False,False,False,False,False,False,False,False,False,False,False,NA-NAMRA-04822224
False,False,False,False,False,False,False,False,False,False,False,False,US-EIN-52-1527835
False,False,False,False,False,False,False,False,False,False,False,False,US-EIN-262681792
False,False,False,False,False,False,False,False,False,False,False,False,MZ-NUIT-50039061
False,False,True,False,False,False,False,False,False,False,False,False,XM-DAC-47080
True,False,False,False,False,False,False,False,True,False,False,False,BD-NAB-1102
False,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-CWSEC
True,False,True,False,False,False,True,False,False,False,False,False,FR-RCS-78049888700022
True,False,True,False,False,False,False,False,False,False,False,False,NL-KVK-41177385
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1129603
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-206504
True,False,True,False,False,False,False,False,True,False,False,False,ET-MFA-0001989741
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1085096
True,True,True,False,False,False,False,False,False,False,False,False,NL-KVK-41208024
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-08333641
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-7-PPR-4000005312
True,False,True,False,False,False,False,False,True,False,False,False,ZA-CIP-M2005001486
True,True,True,True,True,True,True,True,True,True,True,True,GB-CHC-1068839
True,False,False,False,False,False,False,False,False,False,False,False,CO-CCB-00159397
False,False,False,False,False,False,False,False,False,False,False,False,BD-NAB-0841
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0408628435
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0432624255
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-47066
True,False,True,True,False,True,True,False,False,False,False,False,GB-COH-03580586
False,False,False,False,False,False,False,False,False,False,False,False,DE-CR-RA000209-VR1207
True,False,False,False,False,False,False,False,False,False,False,False,ET-CSA-0081
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1160263
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-261488
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-283302
True,True,True,True,True,True,True,True,True,True,True,True,XM-DAC-2-10
True,True,True,True,True,True,True,True,True,True,False,True,XM-DAC-41301
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0408256667
True,False,False,False,False,False,False,False,False,False,False,False,BE-BCE_KBO-0550758080
False,False,False,False,False,False,False,False,False,False,False,False,XI-GRID-XI-GRID-grid.11142.37
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1135700
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0464147473
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1069182
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6200801257400
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1175791
True,True,True,True,True,True,True,True,True,True,True,True,XM-DAC-3-1
True,True,True,True,True,True,True,True,True,False,False,False,BE-BCE_KBO-0433439550
False,False,False,False,False,False,False,False,False,False,False,False,US-501c3-522318905
True,False,False,False,False,False,True,False,True,False,False,False,NL-KVK-40409352
False,False,False,False,False,False,False,False,False,False,False,False,XM-OCHA-HPC9829
True,False,False,False,False,False,False,False,False,False,False,False,LB-MOI-3567
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-327421
True,True,True,True,True,True,False,True,True,False,True,False,GB-COH-14411359
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1029161
True,False,True,False,False,False,False,False,True,False,False,False,NL-KVK-41201644
False,True,True,False,False,False,False,False,False,False,False,False,NL-KVK-41145371
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6201001076902
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6200901945503
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6200901944209
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6201200579608
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6200901944805
False,False,True,False,False,False,False,False,False,False,False,False,BJ-IFU-6201001843703
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1145640
False,False,False,False,False,False,False,False,False,False,False,False,UG-RSB-80010000253134/25060
True,True,True,True,True,True,True,True,True,True,True,True,NL-KVK-34141098
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-04465125
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1038785
True,False,False,False,False,False,False,False,True,False,False,False,BD-NAB-0271
False,False,True,False,False,False,False,False,False,False,False,False,CA-CRA_ACR-805837713
False,False,False,False,False,False,False,False,False,False,False,False,NE-DGI-5355
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1127366
True,False,False,False,False,False,False,False,False,False,False,False,US-EIN-06-1597-668
False,False,False,False,False,False,False,False,False,False,False,False,GB-GOV-8
False,False,False,False,False,False,False,False,False,False,False,False,BD-NAB-0577
